state_name;county_name;state_fips;county_fips;age_adjusted_percent;age_adjusted_percent_sd;age_adjusted_percent_95l;age_adjusted_percent_p5u;est_percent;percent_sd;percent_95l;percent_95u;estimated_total;estimated_total_sd;estimated_total_95l;estimated_total_95h;v1;v2;obesity_bin;obesity_category;cty_name_2;state_2;elevation;long;lat
ALABAMA;Autauga;1;1;31.3;2.9;26;37.4;31.5;2.9;26.2;37.6;11350;1033;9439;13510;;;4;4;Autauga;Alabama;54571;32.500389;-86.494165
ALABAMA;Baldwin;1;3;26.3;1.8;23;30.1;26.2;1.7;23;29.7;33960;2205;29860;38490;;;2;1;Baldwin;Alabama;182265;30.548923;-87.762381
ALABAMA;Barbour;1;5;37.5;3.1;31.8;43.9;37.6;3;32;43.8;8240;661;7027;9601;;;6;5;Barbour;Alabama;27457;31.844036;-85.310038
ALABAMA;Bibb;1;7;32.3;2.8;27.1;38.2;32.3;2.8;27.1;38.2;5200;453;4364;6146;;;4;5;Bibb;Alabama;22915;33.030921;-87.127659
ALABAMA;Blount;1;9;31.9;3.2;26.1;38.4;31.9;3.1;26.2;38.3;13530;1316;11110;16260;;;4;5;Blount;Alabama;57322;33.955243;-86.591491
ALABAMA;Bullock;1;11;37.6;3.6;30.9;45.4;37.8;3.7;31.1;45.6;3035;294;2496;3665;;;6;5;Bullock;Alabama;10914;32.116327;-85.701192
ALABAMA;Butler;1;13;37.1;3.2;31.1;43.7;36.8;3.1;31.1;43;5430;451;4593;6351;;;6;5;Butler;Alabama;20947;31.773539;-86.65355
ALABAMA;Calhoun;1;15;33.6;2.2;29.4;38;33.5;2.1;29.4;37.6;28070;1750;24700;31560;;;5;5;Calhoun;Alabama;118572;33.72546;-85.819442
ALABAMA;Chambers;1;17;35.7;3.2;29.9;42.2;35.5;3;30;41.7;9088;769;7669;10670;;;6;5;Chambers;Alabama;34215;32.860439;-85.266474
ALABAMA;Cherokee;1;19;31.9;3.5;25.4;39.3;31.5;3.4;25.4;38.7;5966;636;4810;7319;;;4;5;Cherokee;Alabama;25989;34.179333;-85.629194
ALABAMA;Chilton;1;21;34.8;3.4;28.6;42;34.8;3.4;28.6;41.9;10850;1052;8934;13070;;;5;5;Chilton;Alabama;43643;32.877547;-86.687406
ALABAMA;Choctaw;1;23;36.9;2.9;31.7;42.8;36.5;2.7;31.5;41.9;3870;282;3348;4451;;;6;5;Choctaw;Alabama;13859;32.016562;-88.264164
ALABAMA;Clarke;1;25;36.3;3.1;30.5;42.9;36;3;30.6;42.3;6890;574;5844;8095;;;6;5;Clarke;Alabama;25833;31.685685;-87.815673
ALABAMA;Clay;1;27;32.5;3.5;26.2;39.8;32.2;3.3;26.1;39.2;3420;355;2769;4170;;;5;5;Clay;Alabama;13932;33.272412;-85.820227
ALABAMA;Cleburne;1;29;28.8;3.4;22.6;35.8;28.8;3.3;22.7;35.5;3193;366;2521;3943;;;3;2;Cleburne;Alabama;14972;33.62977;-85.494315
ALABAMA;Coffee;1;31;32.7;2.8;27.6;38.7;32.7;2.7;27.7;38.4;11510;967;9745;13530;;;5;5;Coffee;Alabama;49948;31.354433;-85.904715
ALABAMA;Colbert;1;33;34.8;2.8;29.6;40.6;34.7;2.7;29.7;40.2;14350;1107;12310;16640;;;5;5;Colbert;Alabama;54428;34.723385;-87.685151
ALABAMA;Conecuh;1;35;32.4;3.4;26.3;39.6;32.1;3.2;26.3;38.8;3147;310;2572;3798;;;4;5;Conecuh;Alabama;13228;31.418674;-86.996483
ALABAMA;Coosa;1;37;33.4;3.7;26.7;41.1;33.2;3.5;26.9;40.5;2781;294;2248;3394;;;5;5;Coosa;Alabama;11539;32.975932;-86.155035
ALABAMA;Covington;1;39;34.5;3.2;28.6;41.3;33.8;3;28.2;40.1;9389;842;7831;11130;;;5;5;Covington;Alabama;37765;31.282449;-86.410955
ALABAMA;Crenshaw;1;41;33.8;3.5;27.5;41.1;33.6;3.4;27.4;40.6;3442;346;2811;4160;;;5;5;Crenshaw;Alabama;13906;31.743487;-86.29708
ALABAMA;Cullman;1;43;30.2;3;24.9;36.6;30.1;2.9;24.9;36.1;18270;1761;15100;21950;;;4;4;Cullman;Alabama;80406;34.162362;-86.831859
ALABAMA;Dale;1;45;34.3;2.9;28.7;40.4;34.4;2.9;29;40.4;11710;975;9873;13750;;;5;5;Dale;Alabama;50251;31.383346;-85.641269
ALABAMA;Dallas;1;47;40.3;2.6;35.3;45.5;39.9;2.4;35.3;44.8;12060;727;10670;13520;;;6;5;Dallas;Alabama;43820;32.408815;-87.034955
ALABAMA;DeKalb;1;49;31.7;3;26.1;37.9;31.7;2.9;26.2;37.7;15860;1471;13100;18900;;;4;4;DeKalb;Alabama;71109;34.45511;-85.817208
ALABAMA;Elmore;1;51;28.8;2.6;24.1;34.1;29;2.6;24.3;34.3;16510;1461;13840;19550;;;3;2;Elmore;Alabama;79303;32.559652;-86.225647
ALABAMA;Escambia;1;53;34.5;3.1;28.8;40.8;34.4;3;28.9;40.5;9575;822;8042;11270;;;5;5;Escambia;Alabama;38319;31.088737;-87.282053
ALABAMA;Etowah;1;55;31;2.3;26.6;35.6;30.8;2.2;26.6;35.2;23740;1700;20500;27130;;;4;4;Etowah;Alabama;104430;34.013693;-86.025393
ALABAMA;Fayette;1;57;32.6;3.4;26.5;39.8;32.3;3.2;26.5;39.1;4339;429;3550;5247;;;5;5;Fayette;Alabama;17241;33.726422;-87.770355
ALABAMA;Franklin;1;59;29.6;3.2;23.9;36.2;29.5;3;23.9;35.9;6666;689;5411;8113;;;3;3;Franklin;Alabama;31704;34.460481;-87.793594
ALABAMA;Geneva;1;61;32.1;3.3;26.1;38.9;32;3.1;26.3;38.6;6280;616;5163;7573;;;4;5;Geneva;Alabama;26790;31.09426;-85.788849
ALABAMA;Greene;1;63;43.9;4.3;36.1;52.9;43.7;4;36.2;52;2904;266;2409;3461;;;6;5;Greene;Alabama;9045;32.830505;-87.924
ALABAMA;Hale;1;65;40.2;3.4;34;47.3;40.2;3.4;34;47;5317;446;4505;6220;;;6;5;Hale;Alabama;15760;32.775804;-87.626084
ALABAMA;Henry;1;67;34;3.3;28.2;40.9;33.8;3.1;28.2;40.3;4233;390;3531;5049;;;5;5;Henry;Alabama;17302;31.478593;-85.268828
ALABAMA;Houston;1;69;33.3;2.3;29;38.2;33.2;2.2;29.1;37.9;23810;1583;20870;27140;;;5;5;Houston;Alabama;101547;31.20455;-85.391221
ALABAMA;Jackson;1;71;31.8;3.5;25.5;39.3;31.6;3.3;25.6;38.8;12650;1331;10260;15510;;;4;4;Jackson;Alabama;53227;34.731984;-85.938698
ALABAMA;Jefferson;1;73;31.2;1.4;28.6;33.9;31.4;1.3;28.9;34;151700;6277;139800;164100;;;4;4;Jefferson;Alabama;658466;33.518601;-86.814688
ALABAMA;Lamar;1;75;31;3.3;25;38.2;30.8;3.1;25.2;37.6;3384;345;2773;4134;;;4;4;Lamar;Alabama;14564;33.762769;-88.109649
ALABAMA;Lauderdale;1;77;29.5;2.2;25.2;34.1;29.1;2.1;25.1;33.4;19680;1419;16980;22560;;;3;3;Lauderdale;Alabama;92709;34.866179;-87.608759
ALABAMA;Lawrence;1;79;32.6;3.4;26.4;39.9;32.8;3.4;26.8;39.9;8358;854;6814;10170;;;5;5;Lawrence;Alabama;34339;34.543683;-87.272414
ALABAMA;Lee;1;81;30;2.5;25.3;35.2;30.1;2.6;25.3;35.5;28760;2474;24170;33850;;;4;3;Lee;Alabama;140247;32.588092;-85.345833
ALABAMA;Limestone;1;83;28.9;2.9;23.7;35;29.1;2.9;23.9;35.1;16380;1616;13440;19750;;;3;2;Limestone;Alabama;82782;34.815612;-86.938972
ALABAMA;Lowndes;1;85;40.6;3.7;33.6;48.4;40.6;3.6;33.7;48.1;3683;329;3060;4359;;;6;5;Lowndes;Alabama;11299;32.162415;-86.618688
ALABAMA;Macon;1;87;40.3;3.7;33.6;48.1;40;3.5;33.5;47.4;6425;561;5390;7612;;;6;5;Macon;Alabama;21452;32.425739;-85.715007
ALABAMA;Madison;1;89;30.5;1.9;27;34.3;30.6;1.8;27.2;34.3;71140;4248;63270;79710;;;4;4;Madison;Alabama;334811;34.746392;-86.613232
ALABAMA;Marengo;1;91;37.8;2.5;33;42.8;37.6;2.4;33.1;42.4;5702;358;5014;6420;;;6;5;Marengo;Alabama;21027;32.340479;-87.800648
ALABAMA;Marion;1;93;28.8;3;23.4;35;28.6;2.8;23.4;34.4;6463;635;5288;7787;;;3;2;Marion;Alabama;30776;34.111797;-87.8743
ALABAMA;Marshall;1;95;26.5;2.5;22;31.7;26.5;2.4;22.1;31.5;16890;1543;14090;20090;;;2;1;Marshall;Alabama;93019;34.311974;-86.293279
ALABAMA;Mobile;1;97;30.1;1.4;27.6;32.8;30.3;1.3;27.8;32.9;87250;3756;80110;94830;;;4;3;Mobile;Alabama;412992;30.683993;-88.170637
ALABAMA;Monroe;1;99;35.4;3.2;29.5;42.1;35.4;3.1;29.7;41.8;5750;504;4823;6785;;;6;5;Monroe;Alabama;23068;31.505611;-87.360894
ALABAMA;Montgomery;1;101;34;1.9;30.4;37.8;34;1.8;30.6;37.7;54160;2894;48660;60010;;;5;5;Montgomery;Alabama;229363;32.346175;-86.243797
ALABAMA;Morgan;1;103;34.8;3;29.3;40.9;34.8;2.9;29.5;40.8;29850;2456;25270;34960;;;5;5;Morgan;Alabama;119490;34.514252;-86.930781
ALABAMA;Perry;1;105;41.2;3.8;34.1;49.1;40.7;3.6;34.1;48.2;2945;261;2465;3492;;;6;5;Perry;Alabama;10591;32.581066;-87.369219
ALABAMA;Pickens;1;107;35.4;3.2;29.4;42.3;34.8;3;29.3;41.3;5014;438;4212;5939;;;6;5;Pickens;Alabama;19746;33.292973;-88.066472
ALABAMA;Pike;1;109;35.2;3.1;29.5;41.4;35.1;3;29.4;41.2;7743;671;6488;9098;;;6;5;Pike;Alabama;32899;31.787277;-85.948647
ALABAMA;Randolph;1;111;32.2;3.1;26.5;39;31.9;3;26.4;38.2;5315;501;4403;6375;;;4;5;Randolph;Alabama;22913;33.257607;-85.427266
ALABAMA;Russell;1;113;36.8;3.4;30.5;43.8;36.7;3.3;30.6;43.5;13370;1201;11150;15870;;;6;5;Russell;Alabama;52947;32.421972;-85.062843
ALABAMA;Shelby;1;117;27.9;1.9;24.3;31.8;28.4;1.9;24.8;32.4;37970;2587;33140;43300;;;3;2;Shelby;Alabama;195085;33.290719;-86.737978
ALABAMA;St. Clair;1;115;33.6;2.9;28.3;39.6;33.7;2.9;28.4;39.7;19910;1685;16770;23410;;;5;5;St. Clair;Alabama;83593;33.660628;-86.369107
ALABAMA;Sumter;1;119;41.1;3.8;34.1;49.2;40.8;3.7;34.1;48.5;3934;355;3291;4682;;;6;5;Sumter;Alabama;13763;32.57442;-88.232646
ALABAMA;Talladega;1;121;34;2.5;29.5;39.1;34;2.4;29.7;38.9;20270;1421;17660;23170;;;5;5;Talladega;Alabama;82291;33.372083;-86.169238
ALABAMA;Tallapoosa;1;123;34.3;2.9;28.7;40.3;33.9;2.8;28.6;39.7;10430;848;8800;12190;;;5;5;Tallapoosa;Alabama;41616;32.85306;-85.864503
ALABAMA;Tuscaloosa;1;125;32.9;1.7;29.8;36.3;33.1;1.7;29.9;36.4;42940;2171;38830;47300;;;5;5;Tuscaloosa;Alabama;194656;33.214154;-87.520229
ALABAMA;Walker;1;127;33.1;2.6;28.3;38.3;33.1;2.5;28.5;38.2;17130;1276;14760;19740;;;5;5;Walker;Alabama;67023;33.834858;-87.253922
ALABAMA;Washington;1;129;34.9;3.5;28.6;42.2;34.9;3.3;28.6;41.8;4382;418;3600;5247;;;5;5;Washington;Alabama;17581;31.410368;-88.18612
ALABAMA;Wilcox;1;131;41.2;3.9;34.2;49.4;40.8;3.7;34.1;48.5;3604;327;3013;4283;;;6;5;Wilcox;Alabama;11670;31.999753;-87.380407
ALABAMA;Winston;1;133;29.5;3.3;23.7;36.4;29.3;3.1;23.7;36;5340;566;4324;6564;;;3;3;Winston;Alabama;24484;34.163824;-87.415693
ALASKA;Aleutians East;2;13;28.6;4.8;20.1;39.1;28.4;4.9;19.8;39.3;690;119;481;954;;;3;2;Aleutians East;Alaska;3141;54.860151;-162.901536
ALASKA;Aleutians West;2;16;30.2;4.5;22.3;39.8;30;4.6;22;39.9;1169;179;855;1553;;;4;4;Aleutians West;Alaska;5561;54.023571;-168.292885
ALASKA;Anchorage;2;20;26.6;1.5;23.6;29.6;26.5;1.5;23.4;29.5;52590;3080;46530;58630;;;2;1;Anchorage;Alaska;291826;61.192232;-149.793182
ALASKA;Bethel;2;50;32.1;2.9;26.5;38.2;31.9;2.9;26.3;37.8;3254;297;2684;3861;;;4;5;Bethel;Alaska;17013;60.679946;-162.151263
ALASKA;Bristol Bay;2;60;32.2;5.9;22;45.1;32.6;6;22.3;45.9;231;42;158;325;;;4;5;Bristol Bay;Alaska;997;58.735464;-156.834047
ALASKA;Denali;2;68;29.1;4.9;20.4;39.5;29.8;5;21;40.5;431;72;303;585;;;3;3;Denali;Alaska;1826;63.882845;-149.032949
ALASKA;Dillingham;2;70;38.3;5.1;29;49.1;38.5;5.1;29.3;49.4;1236;165;940;1586;;;6;5;Dillingham;Alaska;4847;59.136256;-158.718472
ALASKA;Fairbanks North Star;2;90;25.8;1.4;23.3;28.6;25.5;1.4;22.9;28.3;17400;936;15610;19250;;;2;0;Fairbanks North Star;Alaska;97581;64.831552;-147.624018
ALASKA;Haines;2;100;28.7;4.9;20.3;39.4;29.4;4.9;20.7;40.1;528;88;372;720;;;3;2;Haines;Alaska;2508;59.264125;-135.559897
ALASKA;Hoonah-Angoon;2;232;30.8;4.7;22.4;41;30.6;4.8;22.2;40.9;296;46;214;395;;;4;4;Hoonah-Angoon;Alaska;2150;58.078282;-135.384163
ALASKA;Juneau;2;110;26.5;2.1;22.6;30.9;26.7;2.1;22.8;31;6210;483;5300;7208;;;2;1;Juneau;Alaska;31275;58.358516;-134.530605
ALASKA;Kenai Peninsula;2;122;29.3;1.7;26.2;32.8;29.9;1.7;26.8;33.4;11830;667;10610;13190;;;3;3;Kenai Peninsula;Alaska;55400;60.292592;-151.064475
ALASKA;Ketchikan Gateway;2;130;33.8;3.1;28.2;40.1;34;3;28.5;40.2;3301;293;2760;3901;;;5;5;Ketchikan Gateway;Alaska;13477;55.367858;-131.678527
ALASKA;Kodiak Island;2;150;26;3.1;20.4;32.3;26.2;3.1;20.5;32.5;2365;280;1853;2939;;;2;0;Kodiak Island;Alaska;13592;57.779137;-152.460881
ALASKA;Lake and Peninsula;2;164;33.9;5.9;23.7;46.5;34.3;6;23.9;47;342;59;238;468;;;5;5;Lake and Peninsula;Alaska;1631;58.557351;-156.371652
ALASKA;Matanuska-Susitna;2;170;27.9;2.4;23.5;32.9;27.9;2.4;23.4;32.8;17120;1478;14370;20140;;;3;2;Matanuska-Susitna;Alaska;88995;61.611281;-149.421961
ALASKA;Nome;2;180;32.8;3.9;25.8;41;33;3.9;25.9;41.2;1914;225;1505;2396;;;5;5;Nome;Alaska;9492;64.457026;-165.295491
ALASKA;North Slope;2;185;37.6;5.2;28.4;48.4;37.7;5.2;28.5;49;1547;215;1167;2007;;;6;5;North Slope;Alaska;9430;70.522779;-154.862085
ALASKA;Northwest Arctic;2;188;31.3;4;24.1;39.9;31.3;4.1;24;39.9;1412;184;1081;1801;;;4;4;Northwest Arctic;Alaska;7523;66.943735;-161.638185
