id,cat_primary,cat_sub,e_address,e_city,e_state,e_postal,e_zip_full,e_country,loc_county,loc_area_code,loc_FIPS,loc_MSA,loc_PMSA,loc_TZ,loc_DST,loc_LAT_centroid,loc_LAT_poly,loc_LONG_centroid,loc_LONG_poly,biz_name,biz_info,biz_phone,biz_phone_ext,biz_fax,biz_email,web_url,web_meta_title,web_meta_desc,web_meta_keys
1,"Restaurants - All","Sandwich Shops","1511 Eastern Ave",Plymouth,WI,53073,,USA,Sheboygan,920,55117,7620,,CST,Y,43.7466,43.7467169,-87.9866,-87.962135,Subway,,"(920) 892-6159",,,,http://www.subway.com,,,
2,"Restaurants - All",Restaurants,"596 N Frederick Ave",Gaithersburg,MD,20877,,USA,Montgomery,301,24031,,8840,EST,Y,39.1382,39.1494844,-77.1868,-77.2089905,"Boston Market",,"(301) 869-9600",,,,http://www.bostonmarket.com,,,
3,"Restaurants - All","Sandwich Shops","5300 McNutt Rd #11","Santa Teresa",NM,88008,,USA,"Dona Ana",505,35013,4100,,MST,Y,31.8707,31.8476177,-106.6708,-106.6248624,"Subway Subs",,"(505) 997-9088",,,,http://www.subway.com,,,
4,"Restaurants - All","Fast Foods & Carry Out","2759 S 6th St","Klamath Falls",OR,97603,,USA,Klamath,541,41035,,,PST,Y,42.1841,42.210742,-121.6587,-121.755064,"Arby's Roast Beef Restaurant",,"(541) 882-1736",,,,http://www.arbys.com,,,
5,"Restaurants - All",Restaurants,"5610 Paseo Del Norte",Carlsbad,CA,92008,,USA,"San Diego",760,06073,7320,,PST,Y,33.1593,33.1273196,-117.3353,-117.32335,"Bellefleur Winery & Restaurant",,"(760) 603-1919",,,,,,,
6,"Restaurants - All",Restaurants,"566 Georgia 53",Calhoun,GA,30701,,USA,Gordon,706,13129,,,EST,Y,34.4962,34.4739819,-84.9097,-84.9661498,"Huddle House",,"(706) 629-2063",,,,http://www.huddlehouse.com,,,
7,"Restaurants - All",Restaurants,"3706 N Mitthoeffer Rd",Indianapolis,IN,46235,,USA,Marion,317,18097,3480,,EST,N,39.8332,39.825043,-85.9784,-85.9910658,"John Browne's Pub & Eatery",,"(317) 895-9715",,,,,,,
275713,Pizza,"Dine In - Carry Out - Delivery","1313 N 4th St",Sayre,OK,73662,,USA,Beckham,580,40009,,,CST,Y,35.3293,35.3047128,-99.6614,-99.6400541,"B4 Store",,"(580) 928-9509",,,,,,,
9,"Restaurants - All",Restaurants,"3034 Odell Hwy",Odell,OR,97031,,USA,"Hood River",541,41027,,,PST,Y,45.5726,45.636155,-121.6583,-121.545039,Chubys's,,"(541) 354-1300",,,,,,,
10,"Restaurants - All",Restaurants,"8710 Farrow Rd",Columbia,SC,29203,,USA,Richland,803,45079,1760,,EST,Y,34.1179,34.1044348,-81.0612,-80.9546461,Bojangles,,"(803) 419-6994",,,,http://www.bojangles.com,,,
11,"Restaurants - All",Restaurants,"2948 N Stage Plaza",Memphis,TN,38134,,USA,Shelby,901,47157,4920,,CST,Y,35.1884,35.205227,-89.8646,-89.8540721,"NPC International",,"(901) 377-5007",,,,,,,
12,"Restaurants - All","Breakfast & Brunch Restaurants","1292 Rickert Dr",Naperville,IL,60540,,USA,DuPage,630,17043,,1600,CST,Y,41.7638,41.7485509,-88.1463,-88.1672681,"Pancake Cafe",,"(630) 637-1010",,,,http://www.pancakecafe.com,,,
13,"Restaurants - All","Chinese Restaurants","Parlmont Plaza",Chelmsford,MA,01824,,USA,Middlesex,978,25017,,4560,EST,Y,42.5915,,-71.3555,,"Hong & Kong Restaurant",,"(978) 256-6341",,,,,,,
14,"Restaurants - All",Restaurants,"Highway 82 North",Ketchum,OK,74349,,USA,Mayes,918,40097,,,CST,Y,36.5248,36.5186764,-95.0256,-95.0596147,"The Chicken Cooperative",,"(918) 782-9017",,,,,,,
