LAT;LONG;TYPE;NAME
-86.936692;34.781691;AL Cracker Barrel;Athens-1212 Kelli Dr  I-65 Exit #351 ,Bus and RV Parking,(256) 232-4141
-87.003464;33.365375;AL Cracker Barrel;Bessemer-5040 Academy Ln  I-59 Exit #108 ,Bus and RV Parking,(205) 428-7080
-86.733672;33.434905;AL Cracker Barrel;Birmingham-3415 Colonnade Pkwy  I-459 Exit #19 ,(205) 969-1126
-86.74995;33.146436;AL Cracker Barrel;Calera-199 Supercenter Dr  I-65 Exit #231 ,Bus and RV Parking,(205) 668-2027
-86.874196;34.206951;AL Cracker Barrel;Cullman-6020 State Hwy 157 NW  I-65 Exit #310 ,Bus and RV Parking,(256) 739-6950
-86.990894;34.559953;AL Cracker Barrel;Decatur-407 Beltline Road SW ,Bus and RV Parking,(256)350-6263
-85.43071;31.245528;AL Cracker Barrel;Dothan-3431 Ross Clark Circle ,Bus and RV Parking,(334) 673-8454
-87.627494;34.827475;AL Cracker Barrel;Florence-150 Cox Creek Parkway S. ,(256) 766-2442
-87.683644;30.367997;AL Cracker Barrel;Foley-3150 South McKenzie St,Bus and RV Parking,(251) 943-7060
-85.7356;34.4574;AL Cracker Barrel;Fort Payne-201 Cracker Barrel-Row SW  I-59 Exit #218 ,Bus and RV Parking,(256) 997-9204
-86.634868;31.855876;AL Cracker Barrel;Gadsden-180 Interstate Dr Greenville I-65 Exit #130 ,(334) 382-2691
-86.830906;33.647895;AL Cracker Barrel;Gardendale-901 Fieldstown Rd ,(205) 631-8011
-86.634868;31.856063;AL Cracker Barrel;Greenville-181 Interstate Dr ,(334) 382-2691
-86.314283;34.336117;AL Cracker Barrel;Guntersville 11635 US Hwy 431 South ,Bus and RV Parking,(256) 894-3391
-86.897479;34.448065;AL Cracker Barrel;Hartselle-1909 Uncle Herschel Way SE I-65 and SR 36 ,Bus and RV Parking,(256)751-4991
-86.588694;34.705367;AL Cracker Barrel;Huntsville-2001 Drake Ave SW ,(256) 881-4177
-86.519871;33.567567;AL Cracker Barrel;Leeds-2003 Village Dr  I-20 Exit #144 ,Bus and RV Parking,(205) 640-2478
-86.7539;34.6712;AL Cracker Barrel;Madison-120 Cleghorn Blvd.  I-565 Exit #8 ,Bus and RV Parking,(256) 461-7670
-88.126258;30.667748;AL Cracker Barrel;Mobile-43 East I-65 Service Road S.  I-65 Exit #4 ,Bus and RV Parking,(251) 473-6761
-88.224912;30.672365;AL Cracker Barrel;Mobile-845-A Schillinger Road S. ,Bus and RV Parking,(251) 633-8200
-86.140407;32.366205;AL Cracker Barrel;Montgomery-9191 Boyd-Cooper Parkway  I-85 Exit #11 ,Bus and RV Parking,(334) 244-1085
-85.3481;32.651584;AL Cracker Barrel;Opelika-1051 Fox Run Ave  I-85 Exit #62 ,Bus and RV Parking,(334) 749-2363
-85.78507;33.596408;AL Cracker Barrel;Oxford-220 Morgan Rd I-20 Exit #188 ,Bus and RV Parking,(256) 835-6700
-86.782319;33.335663;AL Cracker Barrel;Pelham-655 Cahaba Valley Road  I-65 Exit #246 ,(205) 987-1555
-86.276157;33.608099;AL Cracker Barrel;Pell City-260 Vaughn Ln  I-20 Exit #158 ,Bus and RV Parking,(205) 338-1012
-86.411471;32.486791;AL Cracker Barrel;Prattville-796 Business Park Dr  I-65 Exit #181 ,Bus and RV Parking,(334) 365-9600
-87.85049;30.665511;AL Cracker Barrel;Spanish Fort-30227 Eastern Shore Court  I-10 Exit #38 ,Bus and RV Parking,(251) 621-4826
-86.614666;33.640098;AL Cracker Barrel;Trussville-4710 Norrell Dr  I-59 Exit #141 ,Bus and RV Parking,(205) 655-8498
-87.4759;33.1761;AL Cracker Barrel;Tuscaloosa-4800 Doris Pate Dr  I-59 Exit #76 ,Bus and RV Parking,(205) 562-8282
-94.228149;35.489967;AR Cracker Barrel;Alma-431 US 71 North  I-40 Exit #13 ,Bus and RV Parking,(479) 632-0767
-93.072419;34.187945;AR Cracker Barrel;Arkadelphia-173 Valley St  I-30 Exit #78 ,Bus and RV Parking,(870) 230-8875
-92.499946;34.620843;AR Cracker Barrel;Bryant-318 Commerce St  I-30 Exit #123 ,Bus and RV Parking,(501) 847-7878
-92.412971;35.115679;AR Cracker Barrel;Conway-525 US 65 North  I-40 Exit #125 ,Bus and RV Parking,(501) 327-6107
-93.057306;34.46435;AR Cracker Barrel;Hot Springs 170 Pakis St ,Bus and RV Parking,(501) 525-4704
-90.674334;35.809121;AR Cracker Barrel;Jonesboro-2621 Phillips Dr ,Bus and RV Parking,(870) 932-9732
